model,purple,green,coral,blue,yellow,red,jet black,rose gold,gold,silver,space gray,white,Black,graphite,colors,front_camera_mp,number_camera_mp,rear_camera_mp,depth_mm,release_date,release_date_first,max_ios,processor,ram_gb,storage_options_gb,inner,display_inner_resolution,display_resolution,battery_mah,width,length,size,weight_g,body_material,biometric_auth,wireless_charging,video_recording,video_playback_hours,water_resistance,charging_wattage,launch_price_usd.min,launch_price_usd.max,charging_type,min_price_ILS,max_price_ILS,Airplay_support,support_hd,AI/Siri,ai type,Data Source,Headphone Jack,"Number of Buttons ( Power , Volume Up, Volume Down, Silent Switch)",Power,Volume Up,Volume Down,Silent Switch,rate,adv_rate,final_rate
iPhone 4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['Black', 'White']",0.0,1,5,9.3,2010-06-07,2010-06-07,iOS 7.1.2,A4,0.5,"[8, 16, 32]",0,,640x960,1420.0,58.6,115.2,115.2×58.6×9.3,137,Glass/Steel,Touch ID,No,720p 30fps,7.0,0,5,199,299,30-Pin Dock Connector,662.67,995.6700000000001,"Audio & video streaming supported, no screen mirroring",0,0,,Apple.com / GSMArena,1,4,1,1,1,1,74,6803.283118581978,21.77
iPhone 4S,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['Black', 'White']",0.3,1,8,9.3,2011-10-04,2011-10-04,iOS 9.3.6,A5,0.5,"[16, 32, 64]",0,,640x960,1432.0,58.6,115.2,115.2×58.6×9.3,140,Glass/Steel,Touch ID,No,1080p 30fps,8.0,0,5,199,299,30-Pin Dock Connector,662.67,995.6700000000001,"Audio & video streaming supported, no screen mirroring",0,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,70,9613.296749407154,22.62
iPhone 5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['Black', 'White']",1.2,1,8,7.6,2012-09-21,2012-09-21,iOS 10.3.4,A6,1,"[16, 32, 64]",0,,640x1136,1440.0,58.6,123.8,123.8×58.6×7.6,112,Glass/Metal,Touch ID,No,1080p 30fps,8.0,0,5,199,299,Lightning Connector,662.67,995.6700000000001,"Audio & video streaming supported, no screen mirroring",1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,72,13998.501419729344,23.55
iPhone 5s,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold']",1.2,1,8,7.6,2013-09-20,2013-09-20,iOS 12.5.5,A7,1,"[16, 32, 64]",0,,640x1136,1560.0,58.6,123.8,123.8×58.6×7.6,112,Glass/Metal,Touch ID,No,1080p 30fps,10.0,0,5,199,299,Lightning Connector,662.67,995.6700000000001,"Audio & video streaming supported, no screen mirroring",1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,85,24979.438869392357,24.97
iPhone 6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold']",1.2,1,8,6.9,2014-09-19,2014-09-19,iOS 12.5.5,A8,1,"[16, 64, 128]",0,,750x1334,1810.0,67.0,138.1,138.1×67×6.9,129,Glass/Metal,Touch ID,No,1080p 30fps,11.0,0,5,199,299,Lightning Connector,662.67,995.6700000000001,"Audio & video streaming supported, no screen mirroring",1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,78,27330.547501899357,25.2
iPhone 6 Plus,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold']",1.2,1,8,7.1,2014-09-19,2014-09-19,iOS 12.5.5,A8,1,"[16, 64, 128]",0,,1080x1920,2915.0,77.8,158.1,158.1×77.8×7.1,172,Glass/Metal,Touch ID,No,1080p 30fps,14.0,0,5,299,399,Lightning Connector,995.6700000000001,1328.67,"Audio & video streaming supported, no screen mirroring",1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,79,55283.53555210186,26.93
iPhone 6s,0,0,0,0,0,0,0,1,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold', 'Rose Gold']",5.0,1,12,7.1,2015-09-25,2015-09-25,iOS 15.x,A9,2,"[16, 64, 128]",0,,750x1334,1715.0,67.1,138.3,138.3×67.1×7.1,143,Glass/Metal,Touch ID,No,4K 30fps,11.0,0,5,199,299,Lightning Connector,662.67,995.6700000000001,Audio & video streaming; limited mirroring,1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,80,27739.207868477803,25.23
iPhone 6s Plus,0,0,0,0,0,0,0,1,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold', 'Rose Gold']",5.0,1,12,7.3,2015-09-25,2015-09-25,iOS 15.x,A9,2,"[16, 64, 128]",0,,1080x1920,2750.0,77.9,158.2,158.2×77.9×7.3,192,Glass/Metal,Touch ID,No,4K 30fps,14.0,0,5,299,399,Lightning Connector,995.6700000000001,1328.67,Audio & video streaming; limited mirroring,1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,81,55596.19482374477,26.95
iPhone 7,0,0,0,0,0,1,1,1,1,1,0,0,1,0,"['Black', 'Silver', 'Gold', 'Rose Gold', 'Jet Black', '(PRODUCT)RED']",7.0,1,12,7.1,2016-09-16,2016-09-16,iOS 15.x,A10,2,"[32, 128, 256]",0,,750x1334,1960.0,67.1,138.3,138.3×67.1×7.1,138,Glass/Metal,Touch ID,No,4K 30fps,13.0,1,5,329,449,Lightning Connector,1095.57,1495.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,82,875085.2251016556,33.74
iPhone 7 Plus,0,0,0,0,0,1,1,1,1,1,0,0,1,0,"['Black', 'Silver', 'Gold', 'Rose Gold', 'Jet Black', '(PRODUCT)RED']",7.0,2,12,7.3,2016-09-16,2016-09-16,iOS 15.x,A10,3,"[32, 128, 256]",0,,1080x1920,2900.0,77.9,158.2,158.2×77.9×7.3,188,Glass/Metal,Touch ID,No,4K 30fps,14.0,1,5,429,549,Lightning Connector,1428.57,1828.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,83,1329072.4522894511,34.77
iPhone 8,0,0,0,0,0,1,0,0,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold', '(PRODUCT)RED']",7.0,1,12,7.3,2017-09-22,2017-09-22,iOS 16.x,A11,2,"[64, 128, 256]",0,,750x1334,1821.0,67.3,138.4,138.4×67.3×7.3,148,Glass/Metal,Touch ID,Qi 7.5W,4K 60fps,13.0,1,18,349,449,Lightning Connector,1162.17,1495.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,84,66964529.84151874,44.44
iPhone 8 Plus,0,0,0,0,0,1,0,0,1,1,1,0,0,0,"['Space Gray', 'Silver', 'Gold', '(PRODUCT)RED']",7.0,2,12,7.5,2017-09-22,2017-09-22,iOS 16.x,A11,3,"[64, 128, 256]",0,,1080x1920,2691.0,78.1,158.4,158.4×78.1×7.5,202,Glass/Metal,Touch ID,Qi 7.5W,4K 60fps,14.0,1,18,449,549,Lightning Connector,1495.17,1828.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,85,101102923.02072375,45.46
